CALCULO POBLACIoN:,0,ITERACION: 0, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.8978388131608204, T2: 1.0717095331320363, T3: 0.8641900270162923, FIT: 536866.0145014597, Tiempo de Poblacion: 14.994973421096802,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.9476581378210821, T2: 1.4189766709716103, T3: 0.14799934874683718, FIT: 544715.7186465472, Tiempo de Poblacion: 4.98158597946167,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.5620093097161865, T2: 1.2562278261756314, T3: 2.437902293319664, FIT: 535082.4305707245, Tiempo de Poblacion: 4.975795030593872,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.7785011477678188, T2: 0.9875177187610669, T3: 0.43363090786714537, FIT: 552411.1332305946, Tiempo de Poblacion: 4.8408825397491455,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.4526062745186639, T2: 2.081000921037785, T3: 1.4989050068320302, FIT: 529205.8596189333, Tiempo de Poblacion: 5.237640619277954,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.16596595783216872, T2: 2.4158744708693494, T3: 2.6886014361851562, FIT: 538139.1527601747, Tiempo de Poblacion: 5.074899435043335,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.3857398253864046, T2: 0.7717601131264433, T3: 0.2790098745043025, FIT: 537734.2218160265, Tiempo de Poblacion: 5.07762885093689,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.2040201229740544, T2: 0.830916524232346, T3: 1.6104465276456728, FIT: 529326.919827273, Tiempo de Poblacion: 4.993463516235352,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.6508330437739445, T2: 0.39218824086761994, T3: 1.8752143296646266, FIT: 544436.5575690174, Tiempo de Poblacion: 5.096423149108887,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.3144139681029074, T2: 0.2941574600151698, T3: 1.7997459729410068, FIT: 545629.7991009665, Tiempo de Poblacion: 5.020846128463745,
ITERACION:,9,P1,1.0,P2,2.0,P3,3.0,T1:1.4526062745186639, T2:2.081000921037785, T3:1.4989050068320302, FIT:529205.8596189333, Tiempo de iteracion: 30.04113459587097,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.260767656741839, T2:0.8370022153725994, T3:1.6147361238021745, FIT:528650.836755776, Tiempo de iteracion: 31.7564377784729,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.260767656741839, T2:0.8370022153725994, T3:1.6147361238021745, FIT:528650.836755776, Tiempo de iteracion: 32.202343702316284,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.411782634940519, T2:0.8370897122904919, T3:1.618078838783632, FIT:528276.2684818002, Tiempo de iteracion: 31.494690656661987,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.404523846924672, T2:0.8408191323557601, T3:1.6186519897279241, FIT:528248.8339366635, Tiempo de iteracion: 31.683915376663208,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.3640025651897467, T2:0.8479206625498741, T3:1.622352868852617, FIT:528054.8902233632, Tiempo de iteracion: 31.45929455757141,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.3640025651897467, T2:0.8479206625498741, T3:1.622352868852617, FIT:528054.8902233632, Tiempo de iteracion: 31.348498821258545,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.3640025651897467, T2:0.8479206625498741, T3:1.622352868852617, FIT:528054.8902233632, Tiempo de iteracion: 31.71834421157837,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.3640025651897467, T2:0.8479206625498741, T3:1.622352868852617, FIT:528054.8902233632, Tiempo de iteracion: 31.45978808403015,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.3640025651897467, T2:0.8479206625498741, T3:1.622352868852617, FIT:528054.8902233632, Tiempo de iteracion: 31.470093488693237,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.3640025651897467, T2:0.8479206625498741, T3:1.622352868852617, FIT:528054.8902233632, Tiempo de iteracion: 31.72418522834778,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.5677886949243106, T2:1.4445723448706325, T3:2.521929428397308, FIT:527690.0770163283, Tiempo de iteracion: 31.670851707458496,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.5677886949243106, T2:1.4445723448706325, T3:2.521929428397308, FIT:527690.0770163283, Tiempo de iteracion: 31.402459621429443,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.5677886949243106, T2:1.4445723448706325, T3:2.521929428397308, FIT:527690.0770163283, Tiempo de iteracion: 31.50553822517395,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.5677886949243106, T2:1.4445723448706325, T3:2.521929428397308, FIT:527690.0770163283, Tiempo de iteracion: 31.36355948448181,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.5677886949243106, T2:1.4445723448706325, T3:2.521929428397308, FIT:527690.0770163283, Tiempo de iteracion: 31.166558980941772,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.5677886949243106, T2:1.4445723448706325, T3:2.521929428397308, FIT:527690.0770163283, Tiempo de iteracion: 31.400362491607666,
